Id;Judul;Url;Lulusan;Description;Gaji
1;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-m-w-d-anwendungsentwicklung-bei-stuttgarter-lebensversicherung-a-g-in-stuttgart-84880aa8-ce9c-4dd3-9f95-f943113bad26/;Training - IT specialist (m/f/d) - application development at Stuttgarter Lebensversicherung a.G. in Stuttgart;Middle maturity;We are an insurance company. We are Stuttgarters. But we are not standard. That's why we are looking for trainees as IT specialists (m/f/d) in application development from September 1st, 2024 who can, do and want to do more. And in return you get more responsibility, more freedom to make decisions and more flexible work. This content awaits you: Collaboration in the conception, analysis and development of software for the departments in Stuttgart Development of programs in the appropriate programming language Testing and maintaining the finished software and making necessary changes . Fixing errors with expert and diagnostic systems Connection of new software with existing software solutions System architecture, network technology and IT service and much more With us you get: varied tasks with lots of insights in different IT departments Participation in many projects A partnership on an equal footing Flexible working hours Lots of further training opportunities Fair pay 1st year of apprenticeship 1,205 € 2nd year of apprenticeship 1,282 € 3rd year of apprenticeship 1,370 € Covering public transport travel costs This is what you should have Enthusiasm for computer technology and IT in general Basic knowledge of hardware and software Working independently but of course just having fun Teamwork Willingness to find solutions and perseverance in complex tasks Internship in the IT environment is an advantage Dropping out of your studies is not an obstacle, but usually the ideal way to start! Requirement: intermediate school leaving certificate/technical college entrance qualification/high school diplomaStart of training: September 1stDuration of training: 3 yearsApply now!Questions instead of question marks.Questions about the application? Sabine Leonhardt will be happy to help you on 0711 / 665 - 2028. Question marks eliminated? Then we look forward to your online application. Earnings during training according to collective agreement;-
2;https://www.ausbildung.de/stellen/fachinformatiker-fachrichtung-anwendungsentwicklung-m-w-d-2024-bei-mdcc-magdeburg-city-com-gmbh-in-magdeburg-b91b7c0b-9643-45de-8160-f19d7ca78cb4/;IT specialist specializing in application development (m/f/d) 2024 at MDCC Magdeburg-City-Com GmbH in Magdeburg;Middle maturity;Designing and implementing tasks Testing, adapting and documenting applications Advising, supporting and training users Planning, implementing and controlling projects Troubleshooting through the use of experts and diagnostic systems Development of application-friendly and ergonomic user interfaces Qualifications You have a good secondary school leaving certificate or ( You have a high school diploma, you have analytical thinking skills and technical understanding in the subjects of mathematics, German, English and computer science. You have good performance in computers, software and the Internet. You are enthusiastic about computers, you are communicative, open to new things and enjoy working in a team. Ideally, you have already had your first practical skills Gain experience with hardware/software or programming or your studies were too theoretical for you. This is how you apply to us. Cover letter stating your desired career, CV in tabular form, copy of the final certificate or the last two end-of-year certificates, if necessary, copies of internship certificates by October 31st, 2023 You should become an IT specialist if your dream job revolves around computers. Programming applications makes you happy. You work carefully, independently and goal-oriented. You work well at explaining and showing. You have patience and a willingness to learn. You are a team player and enjoy working with people Vocational schoolTheoretical training takes place at the “Otto von Guericke” vocational school in Magdeburg. Your advantages at MDCC Working in different specialist departments with changing areas of responsibility in order to get to know our employees, products and processes Very good training remuneration 30 days vacation and 38 hours / week Guarantee of employment if your performance is good Flexible and mobile working Individual and comprehensive support during the training Kick-off Start days and trainee fit seminars Comprehensive company health management Good connection with public transport & job ticket Free parking on site Regular company events Bonus for successful completion of training Earnings during training 1st year 1030 €2. Year1090 €3. Year1150 €;"-1. Jahr => 1030 €; 2. Jahr => 1090 €; 3. Jahr => 1150 €; "
3;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-w-m-d-fachrichtung-daten-und-prozessanalyse-zum-15-08-2024-bei-airbus-in-stade-76a5b23c-e5a5-4e5c-9113-e17bad53f539/;Training IT specialist (f/m/d) specializing in data and process analysis on August 15, 2024 at Airbus in Stade;Middle maturity;Ready to shape the future? Become an AIR trainee as an IT specialist (f/m/d)As an IT specialist (f/m/d), you will work, among other things, with digital technologies and solutions, which increasingly determine the competitiveness and future viability of companies. You implement specialist and data-driven business processes in digital form. Existing work processes are checked and analyzed at an information technology level in order to identify and eliminate weak points. Designing solution proposals to make data-driven processes more efficient is one of your core areas. The need for digital information is determined, the corresponding data is provided and visualized in clear formats such as dashboards.Make it happen, make it fly. You can expect: A 3-year vocational training in cooperation with the JOBELMANN-SCHULE, vocational schools I Stade Programming, commissioning and administration of information technology systems Analysis of data and optimization of procedures and processes Elimination of malfunctions through the use of expert and diagnostic systems Exciting projects with real customers Our on-board service to you: Attractive remuneration based on the IG Metall collective agreement 35-hour week Strong AIRzubi community (events & team weeks - with the opportunity to learn to fly yourself!) “CFK Valley”: Innovative and family-friendly Environment, strong community, health services, kiosk and canteen Opportunity for an assignment abroad Opportunity to contribute to the sustainable future of Airbus Many other benefits to make you feel comfortable during your training Your boarding pass: You & your passions! School qualification: secondary school leaving certificate (secondary level II) or Abitur Interest in the subjects: mathematics, computer science For international school qualifications: B1 language skills in German Earnings during training according to collective agreement;-
4;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-m-w-d-bei-linamar-gmbh-in-crimmitschau-331d1371-49ca-48dc-a8f7-9c05c97b58a8/;Training as an IT specialist (m/f/d) at Linamar GmbH in Crimmitschau;Middle maturity;IT specialist for system integration (m/f/d) At our location in Crimmitschau we are also offering 2024 candidates with the following profile the opportunity for vocational training in two disciplines: Qualifications - secondary school diploma or high school diploma - good grades in mathematics, computer science and English - interest in Hardware and software - Manual dexterity - Technical understanding, care and sense of responsibility - Ability to work in a teamResponsibilities FR System integration - Responsible for the planning and configuration of IT systems - Installing and setting up hardware components, operating systems and networks - If malfunctions occur, identify errors using modern diagnostic systems and professionally - Designing work instructions for users and network administrators - Ensuring the security of networks through filter programs, anti-virus programs and encryption techniques - Planning and implementing IT security measures - Solving application and system problems WHAT WE OFFER: - Performance-related bonus system - Financial support for mobility (driving license , public transport) and dormitory attendance bonus starter package subsidy for specialist reading perspective, if the training is successfully completed, earnings during the training 1st year €10002. Year1022 €3. Year1105 € There's (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.;"-1. Jahr => 1000 €; 2. Jahr => 1022 €; 3. Jahr => 1105 €; "
5;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-m-w-d-fuer-anwendungsentwicklung-bei-crealogix-baas-gmbh-co-kg-in-jever-3439d216-b6a0-493a-aa49-9b8852d46aec/;Training as an IT specialist (m/f/d) for application development at Crealogix Baas GmbH & Co. KG in Jever;Middle maturity;Training as an IT specialist (m/f/d) for application developmentIT and technology are your world? As an IT specialist (m/f/d) for application development, you can put your passion into practice with us. This is what you will learn from us: Everything about the conception of customer-specific software solutions Various programming languages ​​and frameworks Testing and adaptation of customer requirements Error analysis and correction Work in the Scrum model This is what you should ideally bring with you: At least a high school diploma, an interest in scientific subjects, good analytical skills and technical understanding. This is also what awaits you: A modern training position in an innovative technological environment A demanding job with individual development opportunities Lots of freedom to develop new solutions and to realize ideas You will become an expert in all things IT A company with a feel-good factor and long-term prospects Even if not everything applies to you, we would like to find out more about you. Because we are not looking for the perfect candidate, but rather people with personality and passion for what they do. Do you want to reorient yourself after dropping out of your studies with a major in (business) computer science or a comparable field? You are very welcome with us. Does that sound exciting to you? Then tell us more about yourself and your motivation. It doesn't matter to us how you apply: by email, via our homepage, by carrier pigeon :-) or you simply call us. Do you still have questions? Then contact Jennifer Klauser from the HR team on +49 9561 55430 or career@crealogix.com There is (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.;-
6;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-m-w-d-systemintegration-01-08-2024-bei-wuensche-services-gmbh-in-hamburg-1da9bc25-ce3c-4bef-bbf4-b38756b51041/;Training IT specialist (m/f/d) system integration August 1st, 2024 at Wunsch Services GmbH in Hamburg;high school diploma;Training as an IT specialist (m/f/d) system integration February 1st, 2023The Wunsch Group is a dynamic, international trading company with headquarters in Hamburg and branches worldwide. With market-driven services, innovative solutions and our wide range of products in the six areas of food, fashion, electronics, hard goods, e-commerce and services, we are one of the leading providers for European retail. Within the group of companies, Wunsch Services GmbH is the professional service provider and service partner for all central tasks. As an IT specialist (m/f/d) system integration, your job is to administer the Wunsch Group's IT systems, ensure stable operation and provide support to users. In an international environment, we will train you to become an IT specialist in various training areas within three years. Your tasks: In addition to your practical work in IT, you will get to know the entire company organization and the collaboration between all areas. You will provide support in the area of ​​system administration and IT support. You will analyze and optimize internal business and communication processes. You will work together with our IT team in the implementation of IT projects You are responsible for communication with providers of services, hardware and software and act as an interface between the IT department and the specialist departments of our company Your profile: You have a good high school diploma or a comparable school qualification You are interested on topics such as system management, software distribution, networks, databases, virtualization and IT security. In addition to initial basic knowledge of operating systems and networks, you have also worked on programming. In addition, you have very good analytical thinking skills, a good understanding of numbers and good German as well as knowledge of English with We offer: Future: First-class training in an international and future-proof family business with flat hierarchies, lean decision-making processes and an open and cooperative discussion and corporate culture. Rounded off with attractive regulations for company pension schemes or an economics subsidyDynamics & Flexibility: Getting-Started Event for the perfect start to practical assignments in all training-relevant departments, with regular feedback discussions, individual support from training representatives in each department, flexible working hours, regular trainee meetings , trainee days and collaboration with other Wunsch Group training locations.Accessibility: Modern office in the heart of Hamburg with height-adjustable desks, employee lounge with roof terrace, grill and fantastic view of the Speicherstadt / Elbphi. Supported by the subsidy of the HVV Profi Ticket and the Ticket Restaurant System, bicycle leasing, bicycle parking spaces (with charging options for e-bikes) and showers.Fun: If you work, you also have to take a break. At the team event, Christmas party, with fruit and free drinks from the fully automatic coffee machine, discounted membership in the fitness studio, company football team, lunch break yoga, participation in the MOPO relay race and the Hamburg triathlon. Internationality: collaboration, networking and exchange with colleagues worldwide and on a weekly basis English lessons.Become the trainee of tomorrow! We are looking forward to your application. Please only use our application form. There's (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.;-
7;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-anwendungsentwicklung-m-w-d-bei-schiettinger-gruppe-in-brand-973a3d54-5b83-4f20-b31d-369b881286d5/;Training IT specialist application development (m/f/d) at Schiettinger Group in Brand;Middle maturity;What do you do in this job? The three-year training takes place in the dual system in the company and at the responsible vocational school. During your training in application development, you will work on the development and optimization of our specific software. You test existing applications, adapt them and develop application-oriented user interfaces. During your training as an IT specialist system integration (m/​f/​d), you are entrusted with planning and configuring IT systems. This also includes error diagnosis and troubleshooting. Documentation and training for users are important. We provide training in the following disciplines: Application development // System integration What is important? Perseverance in troubleshooting, interest in hardware and software Good grades in the main subjects Independent & careful working style Teamwork & flexibility Your advantages: High take-on rate Individual support Holiday and Christmas bonus Crisis-proof training and workplace Training locations: Fr. Schiettinger KG - 95682 Brand/Opf . Contact person: Ms. Schiettinger KG - 95682 Brand/Opf.: Mr. Schönl ∙ Tel.: 09236/66-2610 ∙ Email: bildung@schiettinger.de We offer: Challenging and varied training as well as the chance of a secure job if you perform well. The profession of IT specialist (m/f/d) offers good further training opportunities.;-
8;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-roy-robson-fashion-gmbh-co-kg-in-lueneburg-dc66b2d1-8134-45fe-bead-98c265ca39bd/;Training as an IT specialist for system integration (m/f/d) at ROY ROBSON FASHION GmbH & Co. KG in Lüneburg;Secondary school diploma;IT SPECIALIST FOR SYSTEM INTEGRATION (M/F/D)WE SHAPE THE FUTURE OF MENSWEAR. WE ARE RELYING ON MOTIVATED TALENTS WHO WANT TO FORM THIS PATH WITH US: Your mission: The heart of your training is our IT. You ensure that our IT systems perfectly fit our requirements as an international menswear provider. You will support the setup and commissioning of new IT systems and plan other small and large IT projects. We can only be successful as a company if our IT systems run smoothly. That's why you and our team are also responsible for troubleshooting problems. Your training: The spectrum of your training is diverse: configuration of IT systems, administration of networks, procurement of hardware and software. You will learn how to advise and train our users and how we carry out and control projects. Your trainer coaches and accompanies you in all challenges. You will also receive intensive theoretical preparation for all tasks: at vocational school, as well as through internal seminars and trainee projects. FORM ROY ROBSON'S PATH WITH YOUR PERSONALITY. This is you: You have a great interest in IT technologies. That's why you're enthusiastic about PCs, enjoy working with them and are the first point of contact in your private life when it comes to computer questions. You also have good math and English skills, which will help you in your daily work in the IT environment. Your high communication skills make it easy for you to work in teams, but also to act independently when necessary. Ideally, you have completed a secondary school leaving certificate (secondary school leaving certificate) or an extended first general school leaving certificate (secondary school leaving certificate). Our employees are our capital. That's why we create a familiar, flexible and appreciative working environment by allowing you to take things into your own hands and actively help shape them. We offer stability and trust and invest not only in our own future, but also in yours.;-
9;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-dr-schuhmann-gruppe-in-fuerth-21064365-f911-468a-9575-2cadb9e02419/;Training as an IT specialist for digital networking (m/f/d) with Dr. Schuhmann Group in Fürth;Not specified;"Training IT specialist for digital networking (m/f/d) in FürthOur headquarters in Fürth is offering a training position as an IT specialist for digital networking (m/f/d) for the IT & organization area from September 1st, 2024. Our IT & organization area includes et al. the installation of hardware and software and the support of the nationwide network of Dr. Schuhmann Group.Your tasks: Administration &amp; support of the company's own infrastructure Networking and optimization of systems Installation of hardware and software IT security and data protection Your profile: Intermediate high school diploma, technical college diploma/Abitur (preferably college dropouts) technical understanding in the IT area Willingness to learn and commitment Interest in a complex, service-oriented job We offer: solid and well-founded training to become an IT specialist in Fürth in a pleasant working atmosphere flexible working hours thorough training of the trainee good future prospects guarantee of employment after successful completion of the training job ticket, travel surcharge parking options good connections to public transport (subway U1 / S-Bahn / regional train)";-
10;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-m-w-d-bei-source-gesellschaft-fuer-verkaufsfoerdernde-produkte-mbh-in-wiesbaden-41367bdb-801c-4225-8ee6-902888c6b041/;Training as an IT specialist (m/f/d) at SOURCE Society for sales-promoting products mbH in Wiesbaden;High school diploma;YOUR PROFILE Are you looking for training with a future? Do you like to try things out and read up on IT topics or problems? Are you able to think logically and do you like technical tasks? Do you want to be challenged but also supported? Do you have good English skills? ... Then training as an IT specialist in data and process analysis at SOURCE is just right for you. WE OFFER YOU, AMONG OTHERS. Continuous personal and professional development through very intensive training, regular training and coaching A dynamic and open-minded team that looks forward to meeting new colleagues A modern office so that you can feel comfortable Top prospects for your career and guaranteed employment if you perform well YOUR PRACTICAL TRAINING You learn how the internet and online shops work. You will learn all the technical online marketing tools to be found on Google. You ensure that our online shop continues to develop. To do this, you manage our technical experts abroad or develop things yourself. You ensure that your colleagues in sales and project management can work smoothly and efficiently. To do this, you analyze their current processes and optimize them through automation. You are the contact person for technical problems of your colleagues and advise and train them during their training in accordance with the collective agreement;-
